trade_id,side,open_time,open_price,close_time,close_price,pips,outcome,reason
trade_1,buy,2021-05-24 00:00:00+00:00,1.21802,2021-05-24 05:57:00+00:00,1.21902,10.0,win,tp
trade_3,buy,2021-05-24 05:57:00+00:00,1.21902,2021-05-24 08:11:00+00:00,1.22002,10.0,win,tp
trade_6,sell,2021-05-24 08:11:00+00:00,1.22002,2021-05-24 08:35:00+00:00,1.21902,10.0,win,tp
trade_4,sell,2021-05-24 05:57:00+00:00,1.21902,2021-05-24 08:37:00+00:00,1.21802,10.0,win,tp
trade_8,sell,2021-05-24 08:35:00+00:00,1.21902,2021-05-24 08:37:00+00:00,1.21802,10.0,win,tp
trade_9,buy,2021-05-24 08:37:00+00:00,1.21802,2021-05-24 08:42:00+00:00,1.21902,10.0,win,tp
trade_7,buy,2021-05-24 08:35:00+00:00,1.21902,2021-05-24 09:09:00+00:00,1.22002,10.0,win,tp
trade_11,buy,2021-05-24 08:42:00+00:00,1.21902,2021-05-24 09:09:00+00:00,1.22002,10.0,win,tp
trade_5,buy,2021-05-24 08:11:00+00:00,1.22002,2021-05-24 09:56:00+00:00,1.22102,10.0,win,tp
trade_13,buy,2021-05-24 09:09:00+00:00,1.22002,2021-05-24 09:56:00+00:00,1.22102,10.0,win,tp
trade_15,buy,2021-05-24 09:56:00+00:00,1.22102,2021-05-24 13:42:00+00:00,1.22202,10.0,win,tp
trade_18,sell,2021-05-24 13:42:00+00:00,1.22202,2021-05-24 15:33:00+00:00,1.22102,10.0,win,tp
trade_19,buy,2021-05-24 15:33:00+00:00,1.22102,2021-05-25 00:54:00+00:00,1.22202,10.0,win,tp
trade_17,buy,2021-05-24 13:42:00+00:00,1.22202,2021-05-25 01:34:00+00:00,1.22302,10.0,win,tp
trade_21,buy,2021-05-25 00:54:00+00:00,1.22202,2021-05-25 01:34:00+00:00,1.22302,10.0,win,tp
trade_23,buy,2021-05-25 01:34:00+00:00,1.22302,2021-05-25 06:40:00+00:00,1.22402,10.0,win,tp
trade_25,buy,2021-05-25 06:40:00+00:00,1.22402,2021-05-25 06:44:00+00:00,1.22502,10.0,win,tp
trade_27,buy,2021-05-25 06:44:00+00:00,1.22502,2021-05-25 07:12:00+00:00,1.22602,10.0,win,tp
trade_30,sell,2021-05-25 07:12:00+00:00,1.22602,2021-05-25 08:10:00+00:00,1.22502,10.0,win,tp
trade_31,buy,2021-05-25 08:10:00+00:00,1.22502,2021-05-25 09:01:00+00:00,1.22602,10.0,win,tp
trade_34,sell,2021-05-25 09:01:00+00:00,1.22602,2021-05-25 10:32:00+00:00,1.22502,10.0,win,tp
trade_35,buy,2021-05-25 10:32:00+00:00,1.22502,2021-05-25 11:55:00+00:00,1.22602,10.0,win,tp
trade_38,sell,2021-05-25 11:55:00+00:00,1.22602,2021-05-25 12:52:00+00:00,1.22502,10.0,win,tp
trade_28,sell,2021-05-25 06:44:00+00:00,1.22502,2021-05-25 15:20:00+00:00,1.22402,10.0,win,tp
trade_32,sell,2021-05-25 08:10:00+00:00,1.22502,2021-05-25 15:20:00+00:00,1.22402,10.0,win,tp
trade_36,sell,2021-05-25 10:32:00+00:00,1.22502,2021-05-25 15:20:00+00:00,1.22402,10.0,win,tp
trade_40,sell,2021-05-25 12:52:00+00:00,1.22502,2021-05-25 15:20:00+00:00,1.22402,10.0,win,tp
trade_26,sell,2021-05-25 06:40:00+00:00,1.22402,2021-05-25 16:03:00+00:00,1.22302,10.0,win,tp
trade_42,sell,2021-05-25 15:20:00+00:00,1.22402,2021-05-25 16:03:00+00:00,1.22302,10.0,win,tp
trade_43,buy,2021-05-25 16:03:00+00:00,1.22302,2021-05-25 17:02:00+00:00,1.22402,10.0,win,tp
trade_41,buy,2021-05-25 15:20:00+00:00,1.22402,2021-05-25 18:11:00+00:00,1.22502,10.0,win,tp
trade_45,buy,2021-05-25 17:02:00+00:00,1.22402,2021-05-25 18:11:00+00:00,1.22502,10.0,win,tp
trade_39,buy,2021-05-25 12:52:00+00:00,1.22502,2021-05-26 03:16:00+00:00,1.22602,10.0,win,tp
trade_47,buy,2021-05-25 18:11:00+00:00,1.22502,2021-05-26 03:16:00+00:00,1.22602,10.0,win,tp
